port_transport_number;port;transport;transport_number;service_name;description
101_17;101;udp;17;hostname;NIC Host Name Server
102_6;102;tcp;6;iso-tsap;ISO-TSAP Class 0
102_17;102;udp;17;iso-tsap;ISO-TSAP Class 0
103_6;103;tcp;6;gppitnp;Genesis Point-to-Point Trans Net
103_17;103;udp;17;gppitnp;Genesis Point-to-Point Trans Net
104_6;104;tcp;6;acr-nema;ACR-NEMA Digital Imag. & Comm. 300
104_17;104;udp;17;acr-nema;ACR-NEMA Digital Imag. & Comm. 300
106_6;106;tcp;6;3com-tsmux;3COM-TSMUX
106_17;106;udp;17;3com-tsmux;3COM-TSMUX
107_6;107;tcp;6;rtelnet;Remote Telnet Service
107_17;107;udp;17;rtelnet;Remote Telnet Service
108_6;108;tcp;6;snagas;SNA Gateway Access Server
108_17;108;udp;17;snagas;SNA Gateway Access Server
109_6;109;tcp;6;pop2;Post Office Protocol - Version 2
109_17;109;udp;17;pop2;Post Office Protocol - Version 2
110_6;110;tcp;6;pop3;Post Office Protocol - Version 3
110_17;110;udp;17;pop3;Post Office Protocol - Version 3
111_6;111;tcp;6;sunrpc;SUN Remote Procedure Call
111_17;111;udp;17;sunrpc;SUN Remote Procedure Call
112_6;112;tcp;6;mcidas;McIDAS Data Transmission Protocol
112_17;112;udp;17;mcidas;McIDAS Data Transmission Protocol
113_17;113;udp;17;auth;Authentication Service
115_6;115;tcp;6;sftp;Simple File Transfer Protocol
115_17;115;udp;17;sftp;Simple File Transfer Protocol
116_6;116;tcp;6;ansanotify;ANSA REX Notify
116_17;116;udp;17;ansanotify;ANSA REX Notify
117_6;117;tcp;6;uucp-path;UUCP Path Service
117_17;117;udp;17;uucp-path;UUCP Path Service
118_6;118;tcp;6;sqlserv;SQL Services
118_17;118;udp;17;sqlserv;SQL Services
119_6;119;tcp;6;nntp;Network News Transfer Protocol
119_17;119;udp;17;nntp;Network News Transfer Protocol
120_6;120;tcp;6;cfdptkt;CFDPTKT
120_17;120;udp;17;cfdptkt;CFDPTKT
121_6;121;tcp;6;erpc;Encore Expedited Remote Pro.Call
121_17;121;udp;17;erpc;Encore Expedited Remote Pro.Call
122_6;122;tcp;6;smakynet;SMAKYNET
122_17;122;udp;17;smakynet;SMAKYNET
123_6;123;tcp;6;ntp;Network Time Protocol
123_17;123;udp;17;ntp;Network Time Protocol
124_6;124;tcp;6;ansatrader;ANSA REX Trader
124_17;124;udp;17;ansatrader;ANSA REX Trader
125_6;125;tcp;6;locus-map;Locus PC-Interface Net Map Ser
125_17;125;udp;17;locus-map;Locus PC-Interface Net Map Ser
126_6;126;tcp;6;nxedit;NXEdit
126_17;126;udp;17;nxedit;NXEdit
127_6;127;tcp;6;locus-con;Locus PC-Interface Conn Server
127_17;127;udp;17;locus-con;Locus PC-Interface Conn Server
128_6;128;tcp;6;gss-xlicen;GSS X License Verification
128_17;128;udp;17;gss-xlicen;GSS X License Verification
129_6;129;tcp;6;pwdgen;Password Generator Protocol
129_17;129;udp;17;pwdgen;Password Generator Protocol
130_6;130;tcp;6;cisco-fna;cisco FNATIVE
130_17;130;udp;17;cisco-fna;cisco FNATIVE
131_6;131;tcp;6;cisco-tna;cisco TNATIVE
131_17;131;udp;17;cisco-tna;cisco TNATIVE
132_6;132;tcp;6;cisco-sys;cisco SYSMAINT
132_17;132;udp;17;cisco-sys;cisco SYSMAINT
133_6;133;tcp;6;statsrv;Statistics Service
133_17;133;udp;17;statsrv;Statistics Service
134_6;134;tcp;6;ingres-net;INGRES-NET Service
134_17;134;udp;17;ingres-net;INGRES-NET Service
135_6;135;tcp;6;epmap;DCE endpoint resolution
135_17;135;udp;17;epmap;DCE endpoint resolution
136_6;136;tcp;6;profile;PROFILE Naming System
136_17;136;udp;17;profile;PROFILE Naming System
137_6;137;tcp;6;netbios-ns;NETBIOS Name Service
137_17;137;udp;17;netbios-ns;NETBIOS Name Service
138_6;138;tcp;6;netbios-dgm;NETBIOS Datagram Service
138_17;138;udp;17;netbios-dgm;NETBIOS Datagram Service
139_6;139;tcp;6;netbios-ssn;NETBIOS Session Service
139_17;139;udp;17;netbios-ssn;NETBIOS Session Service
140_6;140;tcp;6;emfis-data;EMFIS Data Service
140_17;140;udp;17;emfis-data;EMFIS Data Service
141_6;141;tcp;6;emfis-cntl;EMFIS Control Service
141_17;141;udp;17;emfis-cntl;EMFIS Control Service
142_6;142;tcp;6;bl-idm;Britton-Lee IDM
142_17;142;udp;17;bl-idm;Britton-Lee IDM
143_6;143;tcp;6;imap;Internet Message Access Protocol
143_17;143;udp;17;;Reserved
144_6;144;tcp;6;uma;Universal Management Architecture
144_17;144;udp;17;uma;Universal Management Architecture
145_6;145;tcp;6;uaac;UAAC Protocol
145_17;145;udp;17;uaac;UAAC Protocol
146_6;146;tcp;6;iso-tp0;ISO-IP0
146_17;146;udp;17;iso-tp0;ISO-IP0
147_6;147;tcp;6;iso-ip;ISO-IP
147_17;147;udp;17;iso-ip;ISO-IP
148_6;148;tcp;6;jargon;Jargon
148_17;148;udp;17;jargon;Jargon
149_6;149;tcp;6;aed-512;AED 512 Emulation Service
149_17;149;udp;17;aed-512;AED 512 Emulation Service
150_6;150;tcp;6;sql-net;SQL-NET
150_17;150;udp;17;sql-net;SQL-NET
151_6;151;tcp;6;hems;HEMS
151_17;151;udp;17;hems;HEMS
152_6;152;tcp;6;bftp;Background File Transfer Program
152_17;152;udp;17;bftp;Background File Transfer Program
153_6;153;tcp;6;sgmp;SGMP
153_17;153;udp;17;sgmp;SGMP
154_6;154;tcp;6;netsc-prod;NETSC
154_17;154;udp;17;netsc-prod;NETSC
155_6;155;tcp;6;netsc-dev;NETSC
155_17;155;udp;17;netsc-dev;NETSC
156_6;156;tcp;6;sqlsrv;SQL Service
156_17;156;udp;17;sqlsrv;SQL Service
157_6;157;tcp;6;knet-cmp;KNET/VM Command/Message Protocol
157_17;157;udp;17;knet-cmp;KNET/VM Command/Message Protocol
158_6;158;tcp;6;pcmail-srv;PCMail Server
158_17;158;udp;17;pcmail-srv;PCMail Server
159_6;159;tcp;6;nss-routing;NSS-Routing
159_17;159;udp;17;nss-routing;NSS-Routing
160_6;160;tcp;6;sgmp-traps;SGMP-TRAPS
160_17;160;udp;17;sgmp-traps;SGMP-TRAPS
161_6;161;tcp;6;snmp;SNMP
161_17;161;udp;17;snmp;SNMP
162_6;162;tcp;6;snmptrap;SNMPTRAP
162_17;162;udp;17;snmptrap;SNMPTRAP
163_6;163;tcp;6;cmip-man;CMIP/TCP Manager
163_17;163;udp;17;cmip-man;CMIP/TCP Manager
164_6;164;tcp;6;cmip-agent;CMIP/TCP Agent
164_17;164;udp;17;cmip-agent;CMIP/TCP Agent
165_6;165;tcp;6;xns-courier;Xerox
165_17;165;udp;17;xns-courier;Xerox
166_6;166;tcp;6;s-net;Sirius Systems
166_17;166;udp;17;s-net;Sirius Systems
167_6;167;tcp;6;namp;NAMP
167_17;167;udp;17;namp;NAMP
168_6;168;tcp;6;rsvd;RSVD
168_17;168;udp;17;rsvd;RSVD
169_6;169;tcp;6;send;SEND
169_17;169;udp;17;send;SEND
170_6;170;tcp;6;print-srv;Network PostScript
170_17;170;udp;17;print-srv;Network PostScript
171_6;171;tcp;6;multiplex;Network Innovations Multiplex
171_17;171;udp;17;multiplex;Network Innovations Multiplex
172_6;172;tcp;6;cl-1;"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1""."
172_17;172;udp;17;cl-1;"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1""."
173_6;173;tcp;6;xyplex-mux;Xyplex
173_17;173;udp;17;xyplex-mux;Xyplex
174_6;174;tcp;6;mailq;MAILQ
174_17;174;udp;17;mailq;MAILQ
175_6;175;tcp;6;vmnet;VMNET
175_17;175;udp;17;vmnet;VMNET
176_6;176;tcp;6;genrad-mux;GENRAD-MUX
176_17;176;udp;17;genrad-mux;GENRAD-MUX
177_6;177;tcp;6;xdmcp;X Display Manager Control Protocol
177_17;177;udp;17;xdmcp;X Display Manager Control Protocol
178_6;178;tcp;6;nextstep;NextStep Window Server
178_17;178;udp;17;nextstep;NextStep Window Server
179_6;179;tcp;6;bgp;Border Gateway Protocol
179_17;179;udp;17;bgp;Border Gateway Protocol
179_132;179;sctp;132;bgp;BGP
180_6;180;tcp;6;ris;Intergraph
180_17;180;udp;17;ris;Intergraph
181_6;181;tcp;6;unify;Unify
181_17;181;udp;17;unify;Unify
182_6;182;tcp;6;audit;Unisys Audit SITP
182_17;182;udp;17;audit;Unisys Audit SITP
183_6;183;tcp;6;ocbinder;OCBinder
183_17;183;udp;17;ocbinder;OCBinder
184_6;184;tcp;6;ocserver;OCServer
184_17;184;udp;17;ocserver;OCServer
185_6;185;tcp;6;remote-kis;Remote-KIS
185_17;185;udp;17;remote-kis;Remote-KIS
186_6;186;tcp;6;kis;KIS Protocol
186_17;186;udp;17;kis;KIS Protocol
187_6;187;tcp;6;aci;Application Communication Interface
187_17;187;udp;17;aci;Application Communication Interface
188_6;188;tcp;6;mumps;Plus Five's MUMPS
188_17;188;udp;17;mumps;Plus Five's MUMPS
189_6;189;tcp;6;qft;Queued File Transport
189_17;189;udp;17;qft;Queued File Transport
190_6;190;tcp;6;gacp;Gateway Access Control Protocol
190_17;190;udp;17;gacp;Gateway Access Control Protocol
191_6;191;tcp;6;prospero;Prospero Directory Service
191_17;191;udp;17;prospero;Prospero Directory Service
192_6;192;tcp;6;osu-nms;OSU Network Monitoring System
192_17;192;udp;17;osu-nms;OSU Network Monitoring System
193_6;193;tcp;6;srmp;Spider Remote Monitoring Protocol
193_17;193;udp;17;srmp;Spider Remote Monitoring Protocol
194_6;194;tcp;6;irc;Internet Relay Chat Protocol
194_17;194;udp;17;irc;Internet Relay Chat Protocol
195_6;195;tcp;6;dn6-nlm-aud;DNSIX Network Level Module Audit
195_17;195;udp;17;dn6-nlm-aud;DNSIX Network Level Module Audit
196_6;196;tcp;6;dn6-smm-red;DNSIX Session Mgt Module Audit Redir
196_17;196;udp;17;dn6-smm-red;DNSIX Session Mgt Module Audit Redir
197_6;197;tcp;6;dls;Directory Location Service
197_17;197;udp;17;dls;Directory Location Service
198_6;198;tcp;6;dls-mon;Directory Location Service Monitor
198_17;198;udp;17;dls-mon;Directory Location Service Monitor
199_6;199;tcp;6;smux;SMUX
199_17;199;udp;17;smux;SMUX
200_6;200;tcp;6;src;IBM System Resource Controller
200_17;200;udp;17;src;IBM System Resource Controller
201_6;201;tcp;6;at-rtmp;AppleTalk Routing Maintenance
201_17;201;udp;17;at-rtmp;AppleTalk Routing Maintenance
202_6;202;tcp;6;at-nbp;AppleTalk Name Binding
202_17;202;udp;17;at-nbp;AppleTalk Name Binding
203_6;203;tcp;6;at-3;AppleTalk Unused
203_17;203;udp;17;at-3;AppleTalk Unused
204_6;204;tcp;6;at-echo;AppleTalk Echo
204_17;204;udp;17;at-echo;AppleTalk Echo
205_6;205;tcp;6;at-5;AppleTalk Unused
205_17;205;udp;17;at-5;AppleTalk Unused
206_6;206;tcp;6;at-zis;AppleTalk Zone Information
206_17;206;udp;17;at-zis;AppleTalk Zone Information
207_6;207;tcp;6;at-7;AppleTalk Unused
207_17;207;udp;17;at-7;AppleTalk Unused
208_6;208;tcp;6;at-8;AppleTalk Unused
208_17;208;udp;17;at-8;AppleTalk Unused
209_6;209;tcp;6;qmtp;The Quick Mail Transfer Protocol
209_17;209;udp;17;qmtp;The Quick Mail Transfer Protocol
210_6;210;tcp;6;z39-50;"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50""."
210_17;210;udp;17;z39-50;"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50""."
211_6;211;tcp;6;914c-g;"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g""."
211_17;211;udp;17;914c-g;"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g""."
212_6;212;tcp;6;anet;ATEXSSTR
212_17;212;udp;17;anet;ATEXSSTR
213_6;213;tcp;6;ipx;IPX
213_17;213;udp;17;ipx;IPX
214_6;214;tcp;6;vmpwscs;VM PWSCS
214_17;214;udp;17;vmpwscs;VM PWSCS
215_6;215;tcp;6;softpc;Insignia Solutions
215_17;215;udp;17;softpc;Insignia Solutions
216_6;216;tcp;6;CAIlic;Computer Associates Int'l License Server
216_17;216;udp;17;CAIlic;Computer Associates Int'l License Server
217_6;217;tcp;6;dbase;dBASE Unix
217_17;217;udp;17;dbase;dBASE Unix
218_6;218;tcp;6;mpp;Netix Message Posting Protocol
218_17;218;udp;17;mpp;Netix Message Posting Protocol
219_6;219;tcp;6;uarps;Unisys ARPs
219_17;219;udp;17;uarps;Unisys ARPs
220_6;220;tcp;6;imap3;Interactive Mail Access Protocol v3
220_17;220;udp;17;imap3;Interactive Mail Access Protocol v3
221_6;221;tcp;6;fln-spx;Berkeley rlogind with SPX auth
221_17;221;udp;17;fln-spx;Berkeley rlogind with SPX auth
222_6;222;tcp;6;rsh-spx;Berkeley rshd with SPX auth
222_17;222;udp;17;rsh-spx;Berkeley rshd with SPX auth
223_6;223;tcp;6;cdc;Certificate Distribution Center
223_17;223;udp;17;cdc;Certificate Distribution Center
224_6;224;tcp;6;masqdialer;masqdialer
224_17;224;udp;17;masqdialer;masqdialer
242_6;242;tcp;6;direct;Direct
242_17;242;udp;17;direct;Direct
243_6;243;tcp;6;sur-meas;Survey Measurement
243_17;243;udp;17;sur-meas;Survey Measurement
244_6;244;tcp;6;inbusiness;inbusiness
244_17;244;udp;17;inbusiness;inbusiness
245_6;245;tcp;6;link;LINK
245_17;245;udp;17;link;LINK
246_6;246;tcp;6;dsp3270;Display Systems Protocol
246_17;246;udp;17;dsp3270;Display Systems Protocol
247_6;247;tcp;6;subntbcst-tftp;"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
247_17;247;udp;17;subntbcst-tftp;"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
248_6;248;tcp;6;bhfhs;bhfhs
248_17;248;udp;17;bhfhs;bhfhs
256_6;256;tcp;6;rap;RAP
256_17;256;udp;17;rap;RAP
257_6;257;tcp;6;set;Secure Electronic Transaction
257_17;257;udp;17;set;Secure Electronic Transaction
259_6;259;tcp;6;esro-gen;Efficient Short Remote Operations
259_17;259;udp;17;esro-gen;Efficient Short Remote Operations
260_6;260;tcp;6;openport;Openport
260_17;260;udp;17;openport;Openport
261_6;261;tcp;6;nsiiops;IIOP Name Service over TLS/SSL
261_17;261;udp;17;nsiiops;IIOP Name Service over TLS/SSL
262_6;262;tcp;6;arcisdms;Arcisdms
262_17;262;udp;17;arcisdms;Arcisdms
263_6;263;tcp;6;hdap;HDAP
263_17;263;udp;17;hdap;HDAP
264_6;264;tcp;6;bgmp;BGMP
264_17;264;udp;17;bgmp;BGMP
265_6;265;tcp;6;x-bone-ctl;X-Bone CTL
265_17;265;udp;17;x-bone-ctl;X-Bone CTL
266_6;266;tcp;6;sst;SCSI on ST
266_17;266;udp;17;sst;SCSI on ST
267_6;267;tcp;6;td-service;Tobit David Service Layer
267_17;267;udp;17;td-service;Tobit David Service Layer
268_6;268;tcp;6;td-replica;Tobit David Replica
268_17;268;udp;17;td-replica;Tobit David Replica
269_6;269;tcp;6;manet;MANET Protocols
269_17;269;udp;17;manet;MANET Protocols
270_6;270;tcp;6;;Reserved
270_17;270;udp;17;gist;Q-mode encapsulation for GIST messages
271_6;271;tcp;6;pt-tls;IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)
271_17;271;udp;17;;Reserved
280_6;280;tcp;6;http-mgmt;http-mgmt
280_17;280;udp;17;http-mgmt;http-mgmt
281_6;281;tcp;6;personal-link;Personal Link
281_17;281;udp;17;personal-link;Personal Link
282_6;282;tcp;6;cableport-ax;Cable Port A/X
282_17;282;udp;17;cableport-ax;Cable Port A/X
283_6;283;tcp;6;rescap;rescap
283_17;283;udp;17;rescap;rescap
284_6;284;tcp;6;corerjd;corerjd
284_17;284;udp;17;corerjd;corerjd
286_6;286;tcp;6;fxp;FXP Communication
286_17;286;udp;17;fxp;FXP Communication
287_6;287;tcp;6;k-block;K-BLOCK
287_17;287;udp;17;k-block;K-BLOCK
308_6;308;tcp;6;novastorbakcup;Novastor Backup
308_17;308;udp;17;novastorbakcup;Novastor Backup
309_6;309;tcp;6;entrusttime;EntrustTime
309_17;309;udp;17;entrusttime;EntrustTime
310_6;310;tcp;6;bhmds;bhmds
310_17;310;udp;17;bhmds;bhmds
311_6;311;tcp;6;asip-webadmin;AppleShare IP WebAdmin
311_17;311;udp;17;asip-webadmin;AppleShare IP WebAdmin
312_6;312;tcp;6;vslmp;VSLMP
312_17;312;udp;17;vslmp;VSLMP
313_6;313;tcp;6;magenta-logic;Magenta Logic
313_17;313;udp;17;magenta-logic;Magenta Logic
314_6;314;tcp;6;opalis-robot;Opalis Robot
314_17;314;udp;17;opalis-robot;Opalis Robot
315_6;315;tcp;6;dpsi;DPSI
315_17;315;udp;17;dpsi;DPSI
316_6;316;tcp;6;decauth;decAuth
316_17;316;udp;17;decauth;decAuth
317_6;317;tcp;6;zannet;Zannet
317_17;317;udp;17;zannet;Zannet
318_6;318;tcp;6;pkix-timestamp;PKIX TimeStamp
318_17;318;udp;17;pkix-timestamp;PKIX TimeStamp
319_6;319;tcp;6;ptp-event;PTP Event
319_17;319;udp;17;ptp-event;PTP Event
320_6;320;tcp;6;ptp-general;PTP General
320_17;320;udp;17;ptp-general;PTP General
321_6;321;tcp;6;pip;PIP
321_17;321;udp;17;pip;PIP
322_6;322;tcp;6;rtsps;RTSPS
322_17;322;udp;17;rtsps;RTSPS
323_6;323;tcp;6;rpki-rtr;Resource PKI to Router Protocol
323_17;323;udp;17;;Reserved
324_6;324;tcp;6;rpki-rtr-tls;Resource PKI to Router Protocol over TLS
324_17;324;udp;17;;Reserved
333_6;333;tcp;6;texar;Texar Security Port
333_17;333;udp;17;texar;Texar Security Port
344_6;344;tcp;6;pdap;Prospero Data Access Protocol
344_17;344;udp;17;pdap;Prospero Data Access Protocol
345_6;345;tcp;6;pawserv;Perf Analysis Workbench
345_17;345;udp;17;pawserv;Perf Analysis Workbench
346_6;346;tcp;6;zserv;Zebra server
346_17;346;udp;17;zserv;Zebra server
347_6;347;tcp;6;fatserv;Fatmen Server
347_17;347;udp;17;fatserv;Fatmen Server
348_6;348;tcp;6;csi-sgwp;Cabletron Management Protocol
348_17;348;udp;17;csi-sgwp;Cabletron Management Protocol
349_6;349;tcp;6;mftp;mftp
349_17;349;udp;17;mftp;mftp
350_6;350;tcp;6;matip-type-a;MATIP Type A
350_17;350;udp;17;matip-type-a;MATIP Type A
351_6;351;tcp;6;matip-type-b;MATIP Type B
351_17;351;udp;17;matip-type-b;MATIP Type B
352_6;352;tcp;6;dtag-ste-sb;DTAG
352_17;352;udp;17;dtag-ste-sb;DTAG
353_6;353;tcp;6;ndsauth;NDSAUTH
353_17;353;udp;17;ndsauth;NDSAUTH
354_6;354;tcp;6;bh611;bh611
354_17;354;udp;17;bh611;bh611
355_6;355;tcp;6;datex-asn;DATEX-ASN
355_17;355;udp;17;datex-asn;DATEX-ASN
356_6;356;tcp;6;cloanto-net-1;Cloanto Net 1
356_17;356;udp;17;cloanto-net-1;Cloanto Net 1
